M_init age core_mass st
0.74965 3.725617649955e+04 0.472488 3
0.94825 1.518332236917e+04 0.523716 6
0.84895 2.317359512059e+04 0.520795 6
1.74265 1.969651742653e+03 0.638142 6
1.14685 7.645855403549e+03 0.567108 6
1.04755 1.052825789271e+04 0.551029 6
2.13985 1.239171007057e+03 0.68221 6
1.44475 3.493439095497e+03 0.603965 6
1.64335 2.340200917952e+03 0.625095 6
1.94125 1.520855585717e+03 0.671081 6
1.84195 1.693004535400e+03 0.654431 6
1.24615 5.714392577280e+03 0.579205 6
1.34545 4.409017938472e+03 0.592475 6
2.23915 1.091849335679e+03 0.684892 6
2.04055 1.414744630673e+03 0.681784 6
1.54405 2.831276350128e+03 0.614898 6
2.53705 7.693540083646e+02 0.684365 6
3.03355 4.634070014845e+02 0.70045 6
2.63635 6.903119047463e+02 0.681757 6
2.93425 5.095195337278e+02 0.694851 6
2.43775 8.604294425004e+02 0.68707 6
2.73565 6.216395829997e+02 0.68259 6
3.13285 4.228912893794e+02 0.699976 6
3.43075 3.276190470170e+02 0.720993 6
2.83495 5.618296295990e+02 0.687385 6
3.23215 3.872283267096e+02 0.707884 6
2.33845 9.669678137025e+02 0.687393 6
3.53005 3.026348013208e+02 0.733454 6
3.62935 2.803249778538e+02 0.752488 6
3.33145 3.556327793303e+02 0.721218 6
3.72865 2.603515428048e+02 0.770314 6
4.02655 2.116481570126e+02 0.815733 6
3.92725 2.262491762936e+02 0.802084 6
3.82795 2.424103958234e+02 0.786559 6
4.12585 1.984247945254e+02 0.827256 6
4.62235 1.479221120323e+02 0.869867 6
4.22515 1.864082621903e+02 0.837446 6
4.42375 1.654673687263e+02 0.855441 6
4.32445 1.754618381900e+02 0.846683 6
4.52305 1.563175954131e+02 0.863122 6
5.01955 1.204504820618e+02 0.893074 6
5.81395 8.485129249508e+01 0.933861 6
4.72165 1.402051044734e+02 0.876724 6
5.11885 1.148151739583e+02 0.899045 6
5.31745 1.047153568491e+02 0.909246 6
5.21815 1.095808517463e+02 0.903938 6
4.92025 1.265253832978e+02 0.887813 6
4.82095 1.330934850655e+02 0.882755 6
5.61535 9.200662403735e+01 0.924092 6
5.51605 9.595636489314e+01 0.919383 6
5.41675 1.001836654573e+02 0.914368 6
5.91325 8.160795975785e+01 0.939593 6
5.71465 8.831471396415e+01 0.929762 6
6.40975 6.802917477500e+01 0.959556 6
6.01255 7.855979823627e+01 0.944488 6
6.11185 7.569027955157e+01 0.948383 6
6.50905 6.575910312286e+01 0.965641 6
6.21115 7.298453387652e+01 0.951254 6
6.60835 6.360767755273e+01 0.970152 6
6.31045 7.043560033021e+01 0.955181 6
7.99855 4.280433149154e+01 2.14701 5
6.70765 6.156957904432e+01 0.976999 6
8.29645 3.985274202333e+01 2.24685 5
7.89925 4.389868348553e+01 1.38002 6
6.80695 5.964960849650e+01 0.994637 6
8.09785 4.177737392709e+01 2.18025 5
8.49505 3.810310699091e+01 2.31358 5
6.90625 5.783950812915e+01 1.02917 6
8.19715 4.079325764404e+01 2.21353 5
