Minit Mfinal Age He_core C_core dM_wind dM_RLOF C12_central H_fin He_fin C_fin
11 3.17 23.69 3.17 1.93 0.70 7.12 0.38 0.00 1.16 0.06 
12 3.58 20.44 3.58 2.22 0.87 7.55 0.37 0.00 1.24 0.08 
13 3.98 17.99 3.98 2.55 1.06 7.95 0.36 0.00 1.28 0.16 
14 4.39 16.08 4.39 2.88 1.29 8.32 0.35 0.00 1.35 0.11 
15 4.79 14.56 4.79 3.23 1.54 8.67 0.34 0.00 1.33 0.19 
16 5.15 13.33 5.15 3.56 1.78 9.07 0.33 0.00 1.34 0.22 
17 5.52 12.31 5.52 3.91 2.13 9.35 0.32 0.00 1.31 0.22 
18 5.77 11.46 5.77 4.14 2.43 9.80 0.32 0.00 1.31 0.25 
19 6.00 10.75 6.00 4.36 2.71 10.29 0.31 0.00 1.19 0.35 
20 7.07 10.12 7.07 5.27 2.09 10.83 0.29 0.00 1.39 0.36 
21 7.36 9.58 7.36 5.55 2.56 11.08 0.29 0.00 1.36 0.35 
22 9.27 9.15 8.48 6.49 2.43 10.30 0.25 0.32 2.31 0.35 
23 9.50 8.71 7.44 7.09 2.70 10.80 0.26 0.14 2.12 0.40
24 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
25 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
26 9.31 7.70 9.31 7.46 5.37 11.32 0.27 0.00 0.86 0.84 
27 12.12 7.47 11.15 8.97 4.81 10.07 0.23 0.36 2.58 0.33 
28 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
29 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
30 12.12 6.79 12.12 0.00 7.50 10.38 0.23 0.00 1.33 0.72 
31 13.66 6.61 12.43 11.15 6.75 10.58 0.21 0.03 2.26 0.21 
32 11.75 6.43 11.75 9.72 9.32 10.93 0.24 0.00 0.38 1.04 
33 11.98 6.28 11.98 9.91 10.08 10.94 0.23 0.00 0.29 1.14 
34 12.71 6.14 12.71 10.53 10.78 10.51 0.23 0.00 0.27 1.22 
35 12.47 6.00 12.47 10.32 11.60 10.93 0.23 0.00 0.30 1.22 
36 12.73 5.88 12.73 10.55 12.24 11.04 0.23 0.00 0.29 1.25 
37 13.11 5.75 13.11 10.89 13.52 10.37 0.22 0.00 0.28 1.29 
38 13.50 5.64 13.50 6.22 14.22 10.28 0.22 0.00 0.17 1.12 
39 13.86 5.54 13.86 6.31 15.00 10.14 0.22 0.00 0.20 1.19 
40 14.29 5.44 14.29 6.55 15.72 9.99 0.21 0.00 0.20 1.23 
41 14.69 5.35 14.69 7.22 16.48 9.83 0.21 0.00 0.19 1.21 
42 15.06 5.27 15.06 6.49 17.29 9.65 0.21 0.00 0.19 1.28 
43 15.48 5.19 15.48 12.92 18.09 9.43 0.21 0.00 0.30 1.21 
44 15.49 5.11 15.49 7.01 19.49 9.01 0.21 0.00 0.18 1.22 
45 15.91 5.04 15.91 9.77 20.29 8.80 0.20 0.00 0.21 1.28
